Организация,Номер пункта договора,Содержание пункта договора
"АО ""Глория Джинс""",1.,"Термины и определения
Публичная оферта — официальное предложение Продавца неопределённому кругу лиц о заключении договора розничной купли-продажи Товаров. Согласие Покупателя с условиями Публичной оферты — неотъемлемое условие заключения договора.
Продавец, «Глория Джинс» — Акционерное общество «Глория Джинс» (ОГРН 1026104024737) — юридическое лицо, созданное в соответствии с законодательством РФ и осуществляющее продажу Товаров дистанционным способом, в том числе с использованием информационно-телекоммуникационной сети «Интернет» посредством Интернет-магазина, расположенного по адресу www.gloria-jeans.ru.
Пользователь — физическое лицо, использующее сервисы Сайта, отдельные функции Сайта.
Покупатель — гражданин, имеющий намерение приобрести Товары исключительно для личных, семейных, домашних и иных нужд, не связанных с осуществлением предпринимательской деятельности.
Продажа Товаров дистанционным способом — продажа Товаров по договору розничной купли-продажи, заключаемому на основании ознакомления Покупателя с предложенным Продавцом описанием Товара, содержащимся в Интернет-магазине. В соответствии со ст. 493 Гражданского кодекса Российской Федерации, договор розничной купли-продажи считается заключённым с момента выдачи Продавцом Покупателю кассового или товарного чека либо иного документа, подтверждающего оплату Заказа.
Интернет-магазин — ресурс, расположенный в сети Интернет по адресу
www.gloria-jeans.ru и принадлежащий Продавцу. В Интернет-магазине представлены Товары, предлагаемые Продавцом для приобретения на условиях Публичной оферты, а также сведения, необходимые при совершении покупки, в том числе: цена, способы и условия оплаты и доставки, адреса для самовывоза Заказа.
Сайт Интернет-магазина — принадлежащая Интернет-магазину и администрируемая им совокупность логически связанных между собой веб-страниц, содержащих данные о Товарах и условиях их покупки, размещённая по адресу www.gloria-jeans.ru.
Личный кабинет — личное пространство Пользователя, персонализированный интерфейс Сайта с набором пользовательских инструментов для пользования персонализированными сервисами Сайта.
Заказ — электронный или устный запрос/заявка Покупателя на приобретение Товаров из ассортимента Интернета-магазина на условиях настоящей Публичной оферты.
Товар — продукция, информация о которой размещена на Сайте.
Услуги — комплекс мероприятий Интернета-магазина в отношении Покупателя, осуществляемый с целью исполнения условий договора розничной купли-продажи Товара, включающий в себя, но не исчерпывающий, такие услуги, как доставка Заказа Покупателю, информирование Покупателя о процессе исполнения договора и т.д.
"
"АО ""Глория Джинс""",2.1.,"Информация, размещённая на Сайте по адресу www.gloria-jeans.ru, содержит предложение покупки Товара и представляет собой Публичную оферту, согласно ст. 437 Гражданского кодекса Российской Федерации (далее — ГК РФ)."
"АО ""Глория Джинс""",2.2.,"В соответствии со ст. 494 ГК РФ, настоящая Публичная оферта является официальным предложением Продавца неопределённому кругу лиц о заключении договора розничной купли-продажи Товаров.
"
"АО ""Глория Джинс""",2.3.,"Заказ считается переданным Продавцу с момента завершения процедуры оформления Заказа в Интернет-магазине. Момент завершения Покупателем процедуры оформления Заказа признаётся акцептом Покупателя Публичной оферты и согласием Покупателя с условиями настоящей Публичной оферты."
"АО ""Глория Джинс""",2.4.,"Настоящая Публичная оферта может быть изменена Продавцом без какого-либо специального уведомления Покупателя/Пользователя. Новая редакция Публичной оферты вступает в силу с момента её размещения на Сайте и не распространяется на правоотношения между Покупателем и Интернет-магазином, возникшие до вступления новой редакции Публичной
оферты, если иное не предусмотрено новой редакцией Публичной оферты.
"
"АО ""Глория Джинс""",2.5.,"В своей деятельности Интернет-магазин руководствуется положениями ГК РФ, Законом РФ от 07.02.1992 № 2300-1 «О защите прав потребителей», Правилами продажи товаров дистанционным способом, утв. Постановлением Правительства РФ от 27.09.2007 № 612 и иным действующим законодательством на территории Российской Федерации.
"
"АО ""Глория Джинс""",2.6.,"Покупатель и Продавец гарантируют друг другу, что обладают необходимой право- и дееспособностью, а равно всеми правами и полномочиями, необходимыми и достаточными для действий в рамках настоящей Публичной оферты. Каждая сторона несёт ответственность за недостоверность предоставляемой ею информации.
"
"АО ""Глория Джинс""",2.7.,"Интернет-магазин не несёт ответственности за точность и правильность информации, предоставляемой Пользователем/Покупателем при регистрации на Сайте и при создании Заказа. Для оформления Заказа Покупатель должен предоставить действительные данные, необходимые для выполнения Заказа. Ответственность за действительность и/или актуальность предоставленных данных, а также за некорректные данные, предоставленные Покупателем и/или представителем Покупателя, несёт Покупатель.
"
"АО ""Глория Джинс""",3.,3. Товар и порядок совершения покупки
"АО ""Глория Джинс""",3.1.,"3.1. Вся текстовая информация и графические изображения размещены на сайте на условиях, указанных в Правилах пользования сайтом и обработки персональных данных.."
